local_authority_name,councillor_name,ward,party,meeting_type,meetings_eligible,meetings_attended,period_start,period_end,source_url,import_notes
Warwickshire County Council,Robert Aitkenhead,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Yousef Dahmash,,,combined,9,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Richard Dickson,,,combined,9,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Tracey Drew,,,combined,8,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Ben Edwards,,,combined,11,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Judy Falp,,,combined,9,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Sarah Feeney,,,combined,13,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,George Finch,,,combined,26,23,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Neil Garland,,,combined,9,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Robert Gisbourne,,,combined,10,10,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Dan Glover,,,combined,11,10,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Nigel Golby,,,combined,6,6,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Stuart Green,,,combined,12,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Lorraine Grocott,,,combined,11,10,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Edward Harris,,,combined,11,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,John Holland,,,combined,8,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Rob Howard,,,combined,14,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Sam Jones,,,combined,9,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Senthil Karadiar,,,combined,9,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Dale Keeling,,,combined,11,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Christopher Kettle,,,combined,10,10,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Keith Kondakor,,,combined,16,16,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Max Langer,,,combined,8,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jan Matecki,,,combined,13,10,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jennifer McAllister,,,combined,11,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Chris Mills,,,combined,10,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Chris Morris,,,combined,17,12,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,James Norris,,,combined,12,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Stephen Pimm,,,combined,9,7,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Dean Richards,,,combined,11,3,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,LOW ATTENDANCE 27%; Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Will Roberts,,,combined,11,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Kate Rolfe,,,combined,8,8,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jerry Roodhouse,,,combined,7,4,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Nicki Scott,,,combined,12,9,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Stephen Shaw,,,combined,20,18,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Luke Shingler,,,combined,7,5,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Anne-Marie Sonko,,,combined,14,13,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Mark Stevens,,,combined,7,6,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,John Waine,,,combined,12,11,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Jennifer Warren,,,combined,22,20,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
Warwickshire County Council,Adrian Warwick,,,combined,13,13,2025-09-25,2026-03-20,https://democracy.warwickshire.gov.uk/mgUserAttendanceSummary.aspx,Period: 25 Sep 2025 – 20 Mar 2026; ward/party not in source
